"Id";"Version";"TypeId";"Name";"IsActive"
"551";"325177329";"62";"Погрузчик одноковшовый фронтальный колесный";"true"
"552";"325177329";"25";"Сортиментовозный прицеп";"true"
"553";"325177329";"16";"Бортовой автомобиль с КМУ";"true"
"554";"325177329";"11";"Специальный, передвижная дизельная насосная установка";"true"
"555";"325177329";"28";"Специализированный, полуприцеп-самосвал";"true"
"556";"325177329";"60";"Стреловой кран";"true"
"557";"325177329";"62";"Погрузчик колесный";"true"
"558";"325177329";"11";"Автоцистерна АКН";"true"
"559";"325177329";"62";"Мини-погрузчик с бортовым поворотом";"true"
"560";"325177329";"7";"Пожарный автомобиль комбинированного тушения";"true"
"561";"325177329";"36";"Бульдозер гусеничный";"true"
"562";"325177329";"25";"Специализированный, для перевозки зерна и комбикорма";"true"
"563";"417337227";"34";"Шарнирно-сочлененный самосвал";"true"
"564";"417337227";"11";"Специализированный, цистерна";"true"
"565";"417337227";"15";"Мастерская";"true"
"566";"417337227";"31";"Вилочный погрузчик";"true"
"567";"417337227";"11";"Специализированный, автомобиль-металловоз с ГМ";"true"
"568";"417337227";"3";"Автомобиль-фургон изотермический с грузоподъемным бортом";"true"
"569";"417337227";"31";"Погрузчик вилочный";"true"
"570";"417337227";"3";"Грузовой промтоварный";"true"
"571";"417337227";"162";"Прицеп тракторный";"true"
"572";"417337227";"11";"Специальный, самосвал с КМУ";"true"
"573";"417337227";"11";"Сортиментовоз с ГМ";"true"
"574";"417337227";"11";"Специальный, многофункциональная комбинированная дорожная машина";"true"
"575";"417337227";"11";"Специализированный, автомобиль-сортиментовоз с КМУ";"true"
"576";"417337227";"12";"Автомобиль ритуальный";"true"
"577";"417337227";"11";"Машина комбинированная";"true"
"578";"417337227";"11";"Специальный, автобетононасос";"true"
"579";"417337227";"162";"Полуприцеп тракторный самосвальный";"true"
"580";"417337227";"15";"Специальный, автомобиль грузовой для перевозки оборудования дорожного мастера";"true"
"581";"417337227";"45";"Самоходный сваевдавливающий копер";"true"
"582";"417337227";"11";"Машина дорожная комбинированная";"true"
"583";"417337227";"35";"Экскаватор гусеничный";"true"
"584";"417337227";"11";"Цистерна";"true"
"585";"417337227";"3";"Грузовой изотермический с гидробортом";"true"
"586";"417337227";"162";"Прицеп измельчитель древесный";"true"
"587";"507950052";"162";"Машина распределяющая полуприцепная";"true"
"588";"507950052";"34";"Погрузчик для подземных работ";"true"
"589";"507950052";"34";"Шахтный самосвал для подземных работ";"true"
"590";"507950052";"48";"Машина уборочная";"true"
"591";"507950052";"3";"Специализированный, транспортное средство для перевозки опасных грузов";"true"
"592";"507950052";"62";"Погрузчик-экскаватор";"true"
"593";"507950052";"32";"Трактор промышленный";"true"
"594";"507950052";"28";"Специализированный, полуприцеп сортиментовозный";"true"
"595";"507950052";"28";"Специальный, полуприцеп-самосвал";"true"
